;;;;;;;;;;;;;;;;;
Второй раздел – виды спорта, развитие которых осуществляется на общероссийском уровне, и их спортивные дисциплины;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
№;Наименование  вида спорта;Номер-код вида спорта;Наименование спортивной дисциплины;Номер-код спортивной дисциплины;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 800 М;1490781711Ж;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 800 М (БАССЕЙН 25 М);1492061711Ж;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 1500 М;1490791711М;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 1500 М (БАССЕЙН 25 М);1492071711М;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 50 М;1490831711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 50 М (БАССЕЙН 25 М);1492081711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 100 М;1490841711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 100 М (БАССЕЙН 25 М);1492091711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 200 М;1490851711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 200 М (БАССЕЙН 25 М);1492101711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 100 М (БАССЕЙН 25 М);1492111711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М;1490861711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М (БАССЕЙН 25 М);1492121711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 400 М;1490871711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 400 М (БАССЕЙН 25 М);1492131711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X50 М ВОЛЬНЫЙ СТИЛЬ;1490881711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4Х50 М ВОЛЬНЫЙ СТИЛЬ (БАССЕЙН 25 М);1492141711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X100 М ВОЛЬНЫЙ СТИЛЬ;1490891711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4Х100 М ВОЛЬНЫЙ СТИЛЬ (БАССЕЙН 25 М);1492151711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X100 М ВОЛЬНЫЙ СТИЛЬ - СМЕШАННАЯ;1492181711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X100 М ВОЛЬНЫЙ СТИЛЬ - СМЕШАННАЯ (БАССЕЙН 25 М);1492191711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X200 М ВОЛЬНЫЙ СТИЛЬ;1490901711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4Х200 М ВОЛЬНЫЙ СТИЛЬ (БАССЕЙН 25 М);1492161711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X50 М КОМБИНИРОВАННАЯ;1490911711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X50 М КОМБИНИРОВАННАЯ (БАССЕЙН 25 М);1492171711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X100 М КОМБИНИРОВАННАЯ;1490921711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X100 М КОМБИНИРОВАННАЯ (БАССЕЙН 25 М);1492201711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X100 М КОМБИНИРОВАННАЯ - СМЕШАННАЯ;1492211711Я;;;;;;;;;;;;;
;;;СПОРТИВНАЯ ГИМНАСТИКА - БРЕВНО;1492221711Б;;;;;;;;;;;;;
;;;СПОРТИВНАЯ ГИМНАСТИКА - ВОЛЬНЫЕ УПРАЖНЕНИЯ;1492231711Я;;;;;;;;;;;;;
;;;СПОРТИВНАЯ ГИМНАСТИКА - КОЛЬЦА;1492241711А;;;;;;;;;;;;;
;;;СПОРТИВНАЯ ГИМНАСТИКА - КОНЬ;1492251711А;;;;;;;;;;;;;
;;;СПОРТИВНАЯ ГИМНАСТИКА - ОПОРНЫЙ ПРЫЖОК;1492261711Я;;;;;;;;;;;;;
;;;СПОРТИВНАЯ ГИМНАСТИКА - ПАРАЛЛЕЛЬНЫЕ БРУСЬЯ;1492271711А;;;;;;;;;;;;;
;;;СПОРТИВНАЯ ГИМНАСТИКА - ПЕРЕКЛАДИНА;1492281711А;;;;;;;;;;;;;
;;;СПОРТИВНАЯ ГИМНАСТИКА - РАЗНОВЫСОКИЕ БРУСЬЯ;1492291711Б;;;;;;;;;;;;;
;;;СПОРТИВНАЯ ГИМНАСТИКА - МНОГОБОРЬЕ;1492301711Я;;;;;;;;;;;;;
;;;СПОРТИВНАЯ ГИМНАСТИКА - КОМАНДНЫЕ СОРЕВНОВАНИЯ;1492311711Я;;;;;;;;;;;;;
;;;ТЕННИС - ОДИНОЧНЫЙ РАЗРЯД;1490932711Я;;;;;;;;;;;;;
;;;ТЕННИС - ПАРНЫЙ РАЗРЯД;1490942711Я;;;;;;;;;;;;;
;;;ТЕННИС - СМЕШАННЫЙ ПАРНЫЙ РАЗРЯД;1492322711Л;;;;;;;;;;;;;
;;;ТХЭКВОНДО - ПХУМСЭ - ИНДИВИДУАЛЬНАЯ ПРОГРАММА;1492331711Я;;;;;;;;;;;;;
;;;ТХЭКВОНДО - ПХУМСЭ - ДВОЙКИ СМЕШАННЫЕ;1492341711Я;;;;;;;;;;;;;
;;;ТХЭКВОНДО - ПХУМСЭ - ТРОЙКИ;1492351711Я;;;;;;;;;;;;;
;;;ТХЭКВОНДО - ПХУМСЭ - ПЯТЕРКИ СМЕШАННЫЕ;1492361711Я;;;;;;;;;;;;;
;;;МИНИ-ФУТБОЛ (ФУТЗАЛ);1490952711Я;;;;;;;;;;;;;
;;;ФУТБОЛ;1490962711А;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 38 КГ;1491401711Ю;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БАТТЕРФЛЯЙ 50 М (БАССЕЙН 25 М) (ИН2);1492411711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БАТТЕРФЛЯЙ 100 М (ИН2);1492421711Г;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;1490211711А;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;1490221711Ю;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 100 КГ;1490231711М;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 100+ КГ;1490241711М;;;;;;;;;;;;;
;;;КОННЫЙ СПОРТ - ВЫЕЗДКА 3-ИЙ УРОВЕНЬ;1490251711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ХОДЬБА 20 КМ;1490561711М;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ХОДЬБА 50 КМ;1490571711М;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ПРЫЖОК В ВЫСОТУ;1490461711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - ПРЫЖОК С ШЕСТОМ;1491601711А;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ПРЫЖОК В ДЛИНУ;1490471711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ТРОЙНОЙ ПРЫЖОК;1490481711Л;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - МЕТАНИЕ ДИСКА;1490431711Я;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - КЛАССИЧЕСКИЙ СТИЛЬ 7,5 КМ;1491663711Л;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - КЛАССИЧЕСКИЙ СТИЛЬ 7,5 КМ (МАССТАРТ);1491673711Ж;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БРАСС 100 М (БАССЕЙН 25 М);1492001711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БРАСС 200 М;1490731711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БРАСС 200 М (БАССЕЙН 25 М);1492011711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 50 М;1490741711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БАТТЕРФЛЯЙ 50 М (ИН2);1492401711Я;;;;;;;;;;;;;
;;;КОННЫЙ СПОРТ - КОНКУР;1490261711Я;;;;;;;;;;;;;
;;;КОННЫЙ СПОРТ - ПРОБЕГИ;1490271711Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ - ЧЕТВЕРКА РАСПАШНАЯ С РУЛЕВЫМ - СМЕШАННАЯ;1490011711Я;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ - ИНДОР - ОДИНОЧНАЯ ГРЕБЛЯ 500 М;1490971711Л;;;;;;;;;;;;;
;;;АКАДЕМИЧЕСКАЯ ГРЕБЛЯ - ИНДОР - ОДИНОЧНАЯ ГРЕБЛЯ 1000 М;1490981711Л;;;;;;;;;;;;;
;;;БАДМИНТОН - ОДИНОЧНЫЙ РАЗРЯД;1490992711Я;;;;;;;;;;;;;
;;;БАДМИНТОН - ПАРНЫЙ РАЗРЯД;1491002711Я;;;;;;;;;;;;;
;;;БАДМИНТОН - СМЕШАННЫЙ ПАРНЫЙ РАЗРЯД;1491012711Я;;;;;;;;;;;;;
;;;БАДМИНТОН - КОМАНДНЫЕ СОРЕВНОВАНИЯ;1491022711Я;;;;;;;;;;;;;
;;;БАСКЕТБОЛ 3Х3;1491032711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - ГИТ С ХОДУ 200 М;1491041711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - ГИТ С ХОДУ 500 М;1491051711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - ГИТ С МЕСТА 200 М;1491061711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - ГИТ С МЕСТА 500 М;1491071711С;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - ГИТ С МЕСТА 1000 М;1491081711А;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - СПРИНТ;1491091711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - КОМАНДНАЯ ГОНКА ПРЕСЛЕДОВАНИЯ 2 КМ;1491101711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - КОМАНДНАЯ ГОНКА ПРЕСЛЕДОВАНИЯ 3 КМ;1491111711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - КОМАНДНАЯ ГОНКА ПРЕСЛЕДОВАНИЯ 4 КМ;1491121711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - КОМАНДНЫЙ СПРИНТ;1491131711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - ГОНКА ПРЕСЛЕДОВАНИЯ 4 КМ;1491141711М;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - КОМАНДНАЯ ГОНКА 25 КМ;1491271711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - КОМАНДНАЯ ГОНКА 50 КМ;1490041711Б;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ПАРНАЯ ГОНКА 25 КМ;1491281711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ПАРНАЯ ГОНКА 50 КМ;1491291711Г;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ГРУППОВАЯ ГОНКА 25 КМ;1491311711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ГРУППОВАЯ ГОНКА 50 КМ;1490051711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - КРИТЕРИУМ 40 КМ;1491301711С;;;;;;;;;;;;;
;;;ГАНДБОЛ;1491322711А;;;;;;;;;;;;;
;;;ГОРНОЛЫЖНЫЙ СПОРТ - СУПЕР-ГИГАНТ;1490063711Я;;;;;;;;;;;;;
;;;ГОРНОЛЫЖНЫЙ СПОРТ - СЛАЛОМ - ГИГАНТ;1490073711Л;;;;;;;;;;;;;
;;;ГОРНОЛЫЖНЫЙ СПОРТ - СЛАЛОМ;1490083711Я;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 24 КГ;1491331711Н;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 26 КГ;1491341711Ю;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 28 КГ;1491351711Д;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 30 КГ;1491361711Ю;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ЭСТАФЕТА 4X400 М;1490601711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - ЭСТАФЕТА 4 Х 400 М (КРУГ 200 М);1491481711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - ЭСТАФЕТА 100 М + 200 М + 400 М + 800 М;1491491711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 1 КМ;1491501711С;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 2 КМ;1491511711С;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 3 КМ;1491521711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 4 КМ;1491531711Б;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 5 КМ;1491541711Б;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 6 КМ;1491551711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 8 КМ;1491561711Б;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 10 КМ;1491571711А;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС 12 КМ;1491581711М;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - КРОСС - КОМАНДНЫЕ СОРЕВНОВАНИЯ;1491591711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ХОДЬБА 1500 М;1490521711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ХОДЬБА 3000 М;1490531711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ХОДЬБА 5000 М;1490541711Л;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ХОДЬБА 10000 М;1490551711Л;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 72 КГ;1491871711Б;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 74 КГ;1491881711А;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 83 КГ;1491891711А;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 84 КГ;1491901711Б;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 84+ КГ;1491911711Б;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 93 КГ;1491921711А;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 105 КГ;1491931711А;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 120 КГ;1491941711А;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 120+ КГ;1491951711А;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БАТТЕРФЛЯЙ 50 М;1490801711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БАТТЕРФЛЯЙ 50 М (БАССЕЙН 25 М);1491961711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БАТТЕРФЛЯЙ 100 М;1490811711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БАТТЕРФЛЯЙ 100 М (БАССЕЙН 25 М);1491971711Я;;;;;;;;;;;;;
;;;НАСТОЛЬНЫЙ ТЕННИС - ОДИНОЧНЫЙ РАЗРЯД (ИН2);1492372711Л;;;;;;;;;;;;;
;;;НАСТОЛЬНЫЙ ТЕННИС - ПАРНЫЙ РАЗРЯД (ИН2);1492382711Л;;;;;;;;;;;;;
;;;НАСТОЛЬНЫЙ ТЕННИС - СМЕШАННЫЙ РАЗРЯД (ИН2);1492392711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БРАСС 50 М (ИН2);1492431711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БРАСС 50 М (БАССЕЙН 25 М) (ИН2);1492441711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БРАСС 100 М (ИН2);1492451711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БРАСС 100 М (БАССЕЙН 25 М) (ИН2);1492461711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 50 М (ИН2);1492471711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 50 М (БАССЕЙН 25 М) (ИН2);1492481711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 100 М (ИН2);1492491711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 100 М (БАССЕЙН 25 М) (ИН2);1492501711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 200 М (ИН2);1492511711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 200 М (БАССЕЙН 25 М) (ИН2);1492521711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 400 М (ИН2);1492531711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 50 М (ИН2);1492541711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 50 М (БАССЕЙН 25 М) (ИН2);1492551711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 100 М (ИН2);1492561711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - НА СПИНЕ 100 М (БАССЕЙН 25 М) (ИН2);1492571711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 100 М (БАССЕЙН 25 М) (ИН2);1492581711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - КОМПЛЕКСНОЕ 200 М (ИН2);1492591711Г;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ЭСТАФЕТА 4X50 М - КОМБИНИРОВАННАЯ (БАССЕЙН 25 М) (ИН2);1492601711Л;;;;;;;;;;;;;
82;СОФТБОЛ;0430002611Б;СОФТБОЛ;0430012611Б;;;;;;;;;;;;;
83;СУМО;1700001511Я;ВЕСОВАЯ КАТЕГОРИЯ 30 КГ;1700061811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 33 КГ;1700211811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 35 КГ;1700071811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 36 КГ;1700221811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1700081811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1700091811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1700011811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1700111811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1700021811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 60+ КГ;1700121811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1700101811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 65+ КГ;1700131811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1700031811Ф;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;1700041811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 72 КГ;1700141811Ж;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 73 КГ;1700231811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1700151811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 75+ КГ;1700161811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 77 КГ;1700241811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1700251811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 80+ КГ;1700301811Б;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1700351811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;1700171811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 92 КГ;1700181811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 95 КГ;1700191811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 95+ КГ;1700201811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 100 КГ;1700401811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 100+ КГ;1700451811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 115 КГ;1700501811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 115+ КГ;1700551811А;;;;;;;;;;;;;
;;;АБСОЛЮТНАЯ КАТЕГОРИЯ;1700601811Я;;;;;;;;;;;;;
;;;КОМАНДНЫЕ СОРЕВНОВАНИЯ;1700051811Я;;;;;;;;;;;;;
84;АМЕРИКАНСКИЙ ФУТБОЛ;0610002311Г;ФЛАГ - ФУТБОЛ;0610022811Г;;;;;;;;;;;;;
;;;АМЕРИКАНСКИЙ ФУТБОЛ;0610012811А;;;;;;;;;;;;;
85;ЗИМНЕЕ ПЛАВАНИЕ;1900001412Л;ЭСТАФЕТА 4 ЧЕЛОВЕКА Х 25 М - КОМБИНИРОВАННАЯ - СМЕШАННАЯ;1900141812Л;;;;;;;;;;;;;
;;;ЭСТАФЕТА 4 ЧЕЛОВЕКА Х 25 М - ВОЛЬНЫЙ СТИЛЬ - СМЕШАННАЯ;1900131812Л;;;;;;;;;;;;;
;;;ЭСТАФЕТА 4 ЧЕЛОВЕКА Х 25 М - ВОЛЬНЫЙ СТИЛЬ;1900121812Л;;;;;;;;;;;;;
;;;ЭСТАФЕТА 4 ЧЕЛОВЕКА Х 25 М - БРАСС - СМЕШАННАЯ;1900111812Л;;;;;;;;;;;;;
;;;ЭСТАФЕТА 4 ЧЕЛОВЕКА Х 25 М - БРАСС;1900101812Л;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ 200 М;1900091812Л;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ 100 М;1900081812Л;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ 50 М;1900071812Л;;;;;;;;;;;;;
;;;ВОЛЬНЫЙ СТИЛЬ 25 М;1900061812Л;;;;;;;;;;;;;
;;;БРАСС 200 М;1900051812Л;;;;;;;;;;;;;
;;;БРАСС 100 М;1900041812Л;;;;;;;;;;;;;
;;;БРАСС 50 М;1900031812Л;;;;;;;;;;;;;
;;;БРАСС 25 М;1900021812Л;;;;;;;;;;;;;
;;;БАТТЕРФЛЯЙ 25 М;1900011812Л;;;;;;;;;;;;;
86;ПРЫЖКИ НА БАТУТЕ;0210001611Я;ИНДИВИДУАЛЬНЫЕ ПРЫЖКИ - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0210071811Я;;;;;;;;;;;;;
;;;СИНХРОННЫЕ ПРЫЖКИ;0210021811Я;;;;;;;;;;;;;
;;;ИНДИВИДУАЛЬНЫЕ ПРЫЖКИ;0210011611Я;;;;;;;;;;;;;
;;;ДВОЙНОЙ МИНИТРАМП - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0210061811Я;;;;;;;;;;;;;
;;;ДВОЙНОЙ МИНИТРАМП;0210041811Я;;;;;;;;;;;;;
;;;АКРОБАТИЧЕСКАЯ ДОРОЖКА - КОМАНДНЫЕ СОРЕВНОВАНИЯ;0210051811Я;;;;;;;;;;;;;
;;;АКРОБАТИЧЕСКАЯ ДОРОЖКА;0210031811Я;;;;;;;;;;;;;
87;АВИАМОДЕЛЬНЫЙ СПОРТ;1520001411Я;КЛАСС F-5B;1520221811Я;;;;;;;;;;;;;
;;;КЛАСС F-5C;1520231811Я;;;;;;;;;;;;;
;;;КЛАСС F-3E;1520241811Я;;;;;;;;;;;;;
;;;КЛАСС F-5J;1520261811Я;;;;;;;;;;;;;
;;;КЛАСС S - 1;1520281811Я;;;;;;;;;;;;;
;;;КЛАСС S - 3;1520291811Я;;;;;;;;;;;;;
;;;КЛАСС S - 4;1520301811Я;;;;;;;;;;;;;
